Differential Diagnosis,Severity,Nature,Signs and Symptoms,Category,Weightage Base,Rule Weightage,Major Complaint,Source,Probability of Diagnosis,Symptoms and Signs
Calciphylaxis ,10,Uncommon,,,,,Diffuse Abdominal Pain ,Meningococcemia with Purpura Fulminans ,0.1,
,,,Nausea & Vomiting - Bilious ,,0.1,10,,,,
,,,Chills ,,0.2,20,,,,
,,,Diffuse Myalgias ,,0.1,10,,,,
,,,Chest Pain ,,0.05,5,,,,
,,,Dyspnea ,,0.05,5,,,,
,,,Headache ,,0.1,10,,,,
,,,Stiff Neck ,,0.1,10,,,,
,,,Blurry Vision ,,0.15,15,,,,
,,,Purplish Discoloration of Skin on Face ,,0.1,10,,,,
,,,Lesions are Tender Usually Seen in Older Patients with Renal Failure ,,0.15,15,,,,
Warfarin Induced Skin Necrosis ,8,Uncommon,,,,,Diffuse Abdominal Pain ,Meningococcemia with Purpura Fulminans ,0.05,
,,,Nausea & Vomiting - Bilious ,,0.1,5,,,,
,,,Chills ,,0.2,10,,,,
,,,Diffuse Myalgias ,,0.1,5,,,,
,,,Chest Pain ,,0.05,2.5,,,,
,,,Dyspnea ,,0.05,2.5,,,,
,,,Headache ,,0.1,5,,,,
,,,Stiff Neck ,,0.1,5,,,,
,,,Blurry Vision ,,0.15,7.5,,,,
,,,Purplish Discoloration of Skin on Face ,,0.1,5,,,,
,,,Exposure ,,0.15,7.5,,,,
ITP or TTP ,10,Moderately common,,,,,Diffuse Abdominal Pain ,Meningococcemia with Purpura Fulminans ,0.2,
,,,Nausea & Vomiting - Bilious ,,0.1,20,,,,
,,,Chills ,,0.2,40,,,,
,,,Diffuse Myalgias ,,0.1,20,,,,
,,,Chest Pain ,,0.05,10,,,,
,,,Dyspnea ,,0.05,10,,,,
,,,Headache ,,0.1,20,,,,
,,,Stiff Neck ,,0.1,20,,,,
,,,Blurry Vision ,,0.15,30,,,,
,,,Purplish Discoloration of Skin on Face ,,0.1,20,,,,
,,,Presentations Subacute Bruising on Legs ,,0.15,30,,,,
Cryoglobulinemic Vasculitis ,10,Uncommon,,,,,Diffuse Abdominal Pain ,Meningococcemia with Purpura Fulminans ,0.1,
,,,Nausea & Vomiting - Bilious ,,0.1,10,,,,
,,,Chills ,,0.2,20,,,,
,,,Diffuse Myalgias ,,0.1,10,,,,
,,,Chest Pain ,,0.05,5,,,,
,,,Dyspnea ,,0.05,5,,,,
,,,Headache ,,0.1,10,,,,
,,,Stiff Neck ,,0.1,10,,,,
,,,Blurry Vision ,,0.15,15,,,,
,,,Purplish Discoloration of Skin on Face ,,0.1,10,,,,
,,,Subacute Underlying Disorder (Usually Hepc) ,,0.15,15,,,,
Catastrophic Antiphospholipid Syndrome ,10,Uncommon,,,,,Diffuse Abdominal Pain ,Meningococcemia with Purpura Fulminans ,0.1,
,,,Nausea & Vomiting - Bilious ,,0.1,10,,,,
,,,Chills ,,0.2,20,,,,
,,,Diffuse Myalgias ,,0.1,10,,,,
,,,Chest Pain ,,0.05,5,,,,
,,,Dyspnea ,,0.05,5,,,,
,,,Headache ,,0.1,10,,,,
,,,Stiff Neck ,,0.1,10,,,,
,,,Blurry Vision ,,0.15,15,,,,
,,,Purplish Discoloration of Skin on Face ,,0.1,10,,,,
,,,Slower Progression (Days or Weeks) Multiple Discrete Thrombotic Episodes Underlying Dx Present with Shock ,,0.15,15,,,,
* Infectious Purpura Fulminans A) Neisseiral B) Strep Pneumonia C) Capnocytophaga Canimorsus ,10,Uncommon,,,,,Diffuse Abdominal Pain ,Meningococcemia with Purpura Fulminans ,0.45,
,,,Nausea & Vomiting - Bilious ,,0.1,45,,,,
